Pos.,Constructor,No.,AUS,BRA,ARG,SMR,MON,ESP,CAN,FRA,GBR,GER,HUN,BEL,ITA,AUT,LUX,JPN,EUR,Points
1,Williams-Renault,3,Ret,1,1,Ret,Ret,1,Ret,4,1,Ret,1,5,5,1,1,DSQ,3,123
,,4,8,9,Ret,1,Ret,8,4,2,Ret,Ret,Ret,3,3,3,3,2,6,
2,Ferrari,5,2,5,Ret,2,1,4,1,1,Ret,2,4,1,6,6,Ret,1,Ret,102
,,6,Ret,16,2,3,3,12,Ret,3,Ret,Ret,9,10,8,Ret,Ret,3,5,
3,Benetton-Renault,7,Ret,6,7,5,Ret,3,2,5,2,6,11,8,2,Ret,2,5,13,67
,,8,4,2,6,Ret,9,10,Ret,Ret,3,1,8,6,7,10,4,8,4,
4,McLaren-Mercedes,9,3,4,5,6,Ret,7,Ret,Ret,Ret,3,Ret,DSQ,9,Ret,RetP,4,1,63
,,10,1,10,Ret,Ret,Ret,6,7,7,4,Ret,Ret,Ret,1,2,Ret,10,2,
5,Jordan-Peugeot,11,Ret,Ret,3,Ret,Ret,Ret,Ret,6,5,5,5,Ret,Ret,5,Ret,9,Ret,33
,,12,Ret,8,Ret,4,6,9,3,9,7,11,Ret,2,4,4,Ret,7,11,
6,Prost-Mugen-Honda,14,5,3,Ret,8,4,2,11,10,8,4,7,15,10,Ret,6,Ret,7,21
,,15,7,14,Ret,Ret,Ret,Ret,6,Ret,11,7,6,Ret,11,Ret,Ret,Ret,10,
7,Sauber-Petronas,16,Ret,7,4,Ret,Ret,5,5,8,Ret,Ret,3,4,Ret,8,7,6,8,16
,,17,6,11,Ret,7,Ret,14,10,Ret,9,9,Ret,9,12,9,9,DNS,14,
8,Arrows-Yamaha,1,DNS,17,Ret,Ret,Ret,Ret,9,12,6,8,2,13,Ret,7,8,11,Ret,9
,,2,10,Ret,Ret,Ret,Ret,Ret,8,Ret,Ret,Ret,Ret,7,Ret,13,5,12,Ret,
9,Stewart-Ford,22,Ret,Ret,Ret,Ret,2,Ret,Ret,Ret,Ret,Ret,Ret,Ret,13,14,Ret,Ret,Ret,6
,,23,Ret,DNS,10,Ret,7,13,Ret,Ret,Ret,Ret,Ret,12,Ret,Ret,Ret,Ret,9,
10,Tyrrell-Ford,18,Ret,15,Ret,10,8,11,Ret,Ret,Ret,10,Ret,Ret,Ret,12,Ret,13,16,2
,,19,Ret,13,8,9,5,Ret,Ret,Ret,Ret,Ret,13,11,Ret,Ret,10,Ret,12,
—,Minardi-Hart,20,Ret,18,Ret,11,10,Ret,Ret,11,Ret,Ret,10,14,Ret,11,Ret,Ret,17,0
,,21,9,12,9,Ret,Ret,15,Ret,Ret,10,Ret,12,Ret,14,EX,Ret,Ret,15,
—,Lola-Ford,24,DNQ,,,,,,,,,,,,,,,,,0
,,25,DNQ,,,,,,,,,,,,,,,,,
Pos.,Constructor,No.,AUS,BRA,ARG,SMR,MON,ESP,CAN,FRA,GBR,GER,HUN,BEL,ITA,AUT,LUX,JPN,EUR,Points
